Novell Open Enterprise Server,Novell,"Novell, Inc. dev team",2003iso,OES 2018 SP1,,,X,SUSE Linux Enterprise Server,server,Commercial[46],
OpenELEC,"Stephan Raue, OpenELEC Team",OpenELEC Team,2011iso,8.0.4,,2017-06-04iso,X,Kodi,multimedia,None,
openSUSE,SUSE Linux,openSUSE Project,2006iso,Leap 15.2[47],3 years[48],2020-07-02iso,X,SLS/Slackware,"general, desktop",None,
OpenWrt,,OpenWrt team,2007iso,18.06.4[49],,2019-07-01iso,X,–,embedded systems,None,
OpenMandriva Lx,OpenMandriva Association,OpenMandriva Association,2013iso,4.1,,2020-02-01iso,X,Mandriva Linux,general,None,
Oracle Linux,Oracle Corporation,Oracle Corporation,2006iso,8.1[50],,2019-11-17iso,X,Red Hat Enterprise Linux (RHEL),server,None,
Parabola GNU/Linux-libre,Parabola Hackers,Parabola Hackers,2009iso,Rolling[51],Rolling,2017-05-28iso,100% Free: GNU FSDG[5] followed in Parabola Social Contract,Arch Linux,general,None,
Pardus,Scientific and Technological Research Council of Turkey (TÜB?TAK),TÜB?TAK,2005iso,19.1[52],,2019-11-23iso,X,Gentoo (2011.2) Debian,general,None,
Parsix,Alan Baghumian,Parsix Project,2005iso,8.15,,2017-01-25iso,X,Debian,desktop,None,
Parted Magic,Patrick Verner,Parted Magic LLC.,,2019_12_24,,2019-12-34iso,X,-,"live, maintenance",Commercial[53],
PCLinuxOS,Bill Reynolds,dev team,2003iso,2019.06[54],Semi-rolling,2019-06-16iso,X,Mandriva Linux,desktop,None,
Pop! OS,Carl Ritchell,System76,2017iso,20.04 LTS,2 years for LTS releases. 2-3 months after the next release for other releases.,2020-04-30iso,X,Ubuntu,"desktop, laptop",None,
Pentoo,"Michael Zanetta, Rick Farina, Jens Pranaitis",Pentoo,2005iso,2019.1,,2019-01-17iso,X,Gentoo Linux,"auditing, security",None,
Porteus,Fanthom,Porteus,2010iso,4.0[55],,2018-04-29iso,X,Slackware,"lightweight, portable",None,
Puppy Linux,Barry Kauler,Puppy Foundation,2003iso,8.0[56],,2019-04-11iso,X,"Independent, inspired from Vector linux","lightweight, portable",None,
PureOS,Todd Weaver,Purism,2009iso,9.0[57],Rolling,2019-09-26iso,100% Free: GNU FSDG[5],Debian,"general, security, privacy",None,
Qubes OS,Joanna Rutkowska,Invisible Things Lab,2012iso,4.0.3[58],,2019-01-23iso,X,Xen and Fedora,"security by compartmentalization, desktop",None,
Red Hat Enterprise Linux (RHEL),Red Hat,Red Hat,2002iso,8.2,10 years[59],2020-04-28iso,X,"Red Hat Linux, Fedora","server, workstation",Commercial[60][61],
Red Hat Linux,Red Hat,Red Hat,1995iso,9,,2003-03-31,X,–,"server, workstation",None,
ROSA,,LLC NTC IT ROSA,2011iso,R11[62],,2019-03-15,X,Mandriva,"server, general",None,
Rocks Cluster Distribution,"UCSD Supercomputing Center, Clustercorp","UCSD Supercomputing Center, Clustercorp",2000iso,7.0,,2015-12-01,X,Red Hat Linux,"server, workstation",None,
Sabayon Linux,Fabio Erculiani,dev team,2005iso,19.03[63],,2019-03-31,X,Gentoo Linux,general,None,
Salix OS,"Cyrille Pontvieux, George Vlahavas, Pierrick Le Brun, Thorsten Mühlfelder",Salix team,2009iso,14.2,,2016-08-29iso,X,Slackware,general,None,
Scientific Linux,"CERN, Fermilab",dev team,2004iso,7.6[64],,2018-12-03,X,"Red Hat Linux, Red Hat Enterprise Linux (RHEL)","server, workstation",None,
Slackware,Patrick Volkerding,dev team,1993iso,14.2[65],,2016-06-30,X,Softlanding Linux System (SLS),general,None,
Slax,Tomas Matejicek,Tomas Matejicek,2002iso,9.9.1[66],,2019-06-17iso,X,"Debian, Slackware (until Slax 9)",live,None,
SliTaz GNU/Linux,Christophe Lincoln,dev team,2008iso,Rolling,Rolling,2017-12-03iso,X,Independent,portable,None,
Solus,Ikey Doherty,dev team,2005iso,Rolling,Rolling,2020-01-25iso,X,–,desktop,None,
SolydXK,Arjen Balfoort,dev team,2013iso,201902[67],Debian packages as per Debian,2019-03-03iso,X,Debian,desktop,None,
SparkyLinux,,Sparky Linux team,2012iso,5.10.1[68],,2020-02-05iso,X,Debian,"general, video games",None,
Source Mage GNU/Linux,"Ryan Abrams, Eric Schabell",dev team,2002iso,0.62-11,,2017-10-22iso,Source Mage Social Contract,Sorcerer,general,None,
SteamOS,Valve,Valve,2013iso,2.195[69],,2019-07-19iso,X,Debian,video games,None,
SUSE Linux Enterprise,SUSE,SUSE,2000iso,15SP2,13 years per version[70],2020-07-21,"Common code base for x86-64, Power, System z, Arm64","Slackware, Jurix","edge, workstation, server, supercomputer",Commercial[71],
Tails,,Tails Development Team,2009iso,4.11[72],–[73],2020-09-22,X,Debian,security-focused aimed for anonymity and privacy,None,
Tiny Core Linux,Robert Shingledecker,Team Tiny Core,2009iso,11.0,,2020-02-09iso,X,"Independent, inspired from Damn Small Linux",portable,None,
Trisquel GNU/Linux,Rubén Rodríguez Pérez (quidam),Rubén Rodríguez Pérez (quidam),2005iso,9.0[74],3 years,2020-10-16iso,100% Free: GNU FSDG[5],Ubuntu LTS,desktop,None,
TurnKey GNU/Linux,"Alon Swartz, Liraz Siri",TurnKey GNU/Linux Team,2008iso,15.x[75],Debian packages as per Debian; TurnKey packages for life of current major version (plus backports per request),2019-06-28iso,Debian Social Contract and DFSG,Debian,server based software appliance library aiming to balance security and ease of use,None,
Ubuntu and Derivatives[76],Canonical Ltd.,Canonical Ltd.,2004iso,20.10[77],"Standard releases 1 year, LTS releases 5 years. Flavor LTS releases 3 or 5 years. Ubuntu Pro 10 years.",2020-10-22iso,X,Debian,"general, server, desktop, supercomputer, IBM mainframe",None,
Univention Corporate Server,Univention GmbH,Univention GmbH,2004iso,4.4-4[78],"up to 6 months for the free Core Edition; if maintenance is purchased, it's up to 7 years, see:[79]",2020-03-24iso,X,Debian,"home, business, and school",Core Edition is free of charge,
Ututo,"Diego Saravia, Daniel Olivera",UTUTO dev team,2000iso,XS 2012,,2012-04-27iso,100% Free: GNU FSDG[5],"Ututo XS: Gentoo Linux, Ututo UL: Ubuntu",general,None,
VectorLinux,Robert S. Lange,dev team,1999iso,VL 7.2[80],,2017-08-28,X,Slackware,desktop,None,
Void Linux,Juan Romero Pardines,Juan RP and contributors,2008iso,Rolling,Rolling,2019-11-09iso,X,"Independent, partially inspired by FreeBSD/NetBSD",general,None,
Webconverger,Kai Hendry,Webconverger Limited,2007iso,35.0,,2016-05-19iso,X,Debian,"kiosk software, digital signage",Commercial,
Xandros,Xandros Incorporated,Xandros Incorporated,2001iso,,,2007-07-26iso,X,Corel Linux,,Commercial,
Zentyal,eBox Technologies,eBox Technologies,2005iso,6.1[81],,2019-12-12iso,X,"Debian, Ubuntu",small business server,Some editions are free of charge,
Zenwalk,Jean-Philippe Guillemin,dev team,2004iso,Rolling[82],,2018-03-09,X,Slackware,general,None,
Zorin OS,Zorin Group,Zorin Group,2009,OS 15[83],,2019-06-05,X,Ubuntu,"general, desktop","Zorin OS Lite & Core are free, while Business and Ultimate are paid for",
Distribution,Founder,Maintainer,Initial release year,Current stable version,Security updates (years),Release date,System distribution commitment,Forked from,Target audience,Cost,Status
