Program,Operating systems,License,Costs,Protocols,Codecs,Encryption,Max conference peers,Other abilities,Latest release
Jitsi,"Linux, macOS, Windows (all java supported). Experimental Android builds are also available.[11]",Apache,,"SIP-SIMPLE, XMPP-Jingle STUN ICE, TURN","SILK, G.722, Speex, Opus, G.711 (PCMU/PCMA), iLBC, GSM, G.729, H.264, H.263, VP8","ZRTP, SRTP, OTR, TLS",,"Text messaging, audio-video telephony, IPv6 (often broken,[12] P2P not supported[13]), call recording, 64-bit",
KPhone,Linux (KDE),GPL,,"SIP, STUN, NAPTR-SRV",,SRTP,,"Video, voice, IM, external Sessions, IPv6 support for UDP",1.2 (November 2008)
Librestream Onsight Connect,"Windows, Android, iOS",,,"SIP, RTP, STUN","G.711, H.264, MPEG, and others","TLS, SRTP",,"Voice, video, conferencing, image sharing, incoming call/IM push notifications.",20180227
Linphone,"Linux, Windows, macOS, Android, iPhone, BlackBerry",GPL v.3,,SIP,"Speex, Opus, G711, GSM, G.722, VP8 (WebM), H263, MPEG4, Theora and H264 (plugin)","TLS, SRTP, ZRTP",,"Video, IM, STUN, IPv6 (disables IPv4 support when enabled, P2P, Secure Encrypion, User own Encryption via Provided API [https://gitlab.linphone.org/BC/public/linphone-desktop)","4.1.1; 20200430, provides daily snapshots via http://www.linphone.org/snapshots"
Messages,macOS,,",SIP AIM ICQ XMPP,"H263, H264",,,"Integrated, PBX independent",7.0; 20120725
MicroSIP,Windows,GPL,,"SIP, STUN, ICE, SIMPLE","Speex, iLBC, GSM, G.711, G.722, G.729, SILK, Linear PCM","TLS, SRTP",,"Video, voice, IM and Presence",
Mirial Softphone (Mirial s.u.r.l.),"Windows 2000-XP-2003-Vista-7 (including 64-bit versions), macOS (x86)",,not free,"SIP, RTSP",H.323,DTLS-SRTP,,"H.264 Full-HD 1080p video rx/tx, Two independent lines supporting Call Control and 3-Party videoconference in Continuous Presence, G.722.1/C wideband audio, Call recording/export, DV/HDMI/Component capture, Presentation (H.239, RFC-4796), Encryption, Far End Camera Control, GPU accel (D3D and OpenGL)","7.0.24; 20100526, discontinued"
Mumble,"Linux, macOS, iOS, Windows, Android",New BSD license,,ICE,"CELT, Speex, Opus",TLS and OCB-AES128,No limit (limited only by server bandwidth and memory),"Chat with (limited) embedded HTML, Automatic Gain Control, very low latency, Access Control Lists for user management, Customizable In-Game Overlay for OpenGL and DirectX, Directional Audio, Plugin Support, Nested Channels, Echo cancellation for headset free use, Global Public Server List, Logitech G15 support, Push-To-Talk and Voice-Activation",1.3.0; 20190907
Nymgo,"Windows, Android, iOS",,,"SIP, RTP and RTCP",,,No limit,"Address Book integration, Call recording/export, Mute, On Hold, Caller ID definition",4.2.9; 201303
oovoo,"macOS, iOS, Windows, Android",,,"SIP, RTP and RTCP",,,12,"Address Book integration, Call recording/export, Mute, On Hold, Caller ID definition",4.2.9; 201303
