VirtualDrive Pro,,,,,,,,Windows,Shareware
WADK,,,,,,"WIM, WSM","WIM, WSM",Windows NT,Freeware; DISM component is included with Windows
WinCDEmu,,,,,,"ISO, BIN, NRG, MDF+MDS, CCD, IMG",,Windows,Free software (LGPL)
File Explorer,VHD only,,,ISO only,,"ISO,[23][24] VHD[25]",VHD,Windows NT,Part of Windows
WinISO,,,,,,"ISO, BIN, CCD, CUE, DVD, IMG, MDF, MDS, NRG","ISO, BIN, CCD, CUE, DVD, IMG, MDF, MDS, NRG",Windows,Shareware
WinRAR,,,,,,ISO,,Windows,Shareware
WinZip,,,,,,ISO,,Windows,Shareware
xorriso,,,Linux FreeBSD,"Linux, BSD, Solaris",,ISO,ISO,"Unix, Linux, Cygwin, macOS",Free software (GPL)
BlackBox ISO Burner,,,,,,ISO,ISO,Windows,Free software (GPL) [26]
Name,Creates?,Modifies?,Mounts?,Writes/<wbr/>Burns?,Extracts?,Input format,Output format,OS,License
