Name,Parsing algorithm,Input grammar notation,Output languages,"Grammar, code",Lexer,Development platform,IDE,License
Lapg,LALR(1),?,"C, C++, C#, Java, JavaScript",Mixed,generated,Java virtual machine,,"
Lemon,LALR(1),?,C,Mixed,external,All,,"
Lime,LALR(1),?,PHP,Mixed,external,All,,"
LISA,"LR(?), LL(?), LALR(?), SLR(?)",?,Java,Mixed,generated,Java virtual machine,,"
LLgen,LL(1),?,C,Mixed,external,POSIX,,"
LLnextgen,LL(1),?,C,Mixed,external,All,,"
LLLPG,LL(k) + syntactic and semantic predicates,ANTLR-like,C#,Mixed,generated (?),".NET Framework, Mono",Visual Studio,"
LPG,Backtracking LALR(k),?,Java,Mixed,generated,Java virtual machine,,"
LRSTAR,"LALR(*), LR(*)","YACC, ANTLR, EBNF",C++,separated,generated,Windows,Visual Studio,BSD
Menhir,LR(1),?,OCaml,Mixed,generated,All,,"
ML-Yacc,LALR(1),?,ML,Mixed,external,All,,?
Monkey,LR(1),?,Java,Separate,generated,Java virtual machine,,"
Msta,"LALR(k), LR(k)","YACC, EBNF","C, C++",Mixed,external or generated,"POSIX, Cygwin",,"
MTP (More Than Parsing),LL(1),?,Java,Separate,generated,Java virtual machine,,"
MyParser,LL(*),Markdown,C++11,Separate,internal,Any with standard C++11 compiler,,"
NLT,GLR,C#/BNF-like,C#,Mixed,mixed,.NET Framework,,"
ocamlyacc,LALR(1),?,OCaml,Mixed,external,All,,"
olex,LL(1),?,C++,Mixed,generated,All,,"
Parsec,"LL, backtracking",Haskell,Haskell,Mixed,none,All,,"
Parse::Yapp,LALR(1),?,Perl,Mixed,external,All,,"
Parser Objects,LL(k),?,Java,Mixed,?,Java virtual machine,,"
PCCTS,LL,?,"C, C++",?,?,All,,?
PLY,LALR(1),BNF,Python,Mixed,generated,All,,"
PlyPlus,LALR(1),EBNF,Python,Separate,generated,All,,"
PRECC,LL(k),?,C,Separate,generated,"DOS, POSIX",,"
QLALR,LALR(1),?,C++,Mixed,external,All,,"
SableCC,LALR(1),?,"C, C++, C#, Java, OCaml, Python",Separate,generated,Java virtual machine,,"
SLK[5],LL(k) LR(k) LALR(k),EBNF,"C, C++, C#, Java, JavaScript",Separate,external,All,,SLK[6]
SLY,LALR(1),BNF,Python,Mixed,generated,All,,"
SP (Simple Parser),Recursive descent,Python,Python,Separate,generated,All,,"
Spirit,Recursive descent,?,C++,Mixed,internal,All,,"
Styx,LALR(1),?,"C, C++",Separate,generated,All,,"
Sweet Parser,LALR(1),?,C++,Separate,generated,Windows,,"
Tap,LL(1),?,C++,Mixed,generated,All,,"
TextTransformer,LL(k),?,C++,Mixed,generated,Windows,,
TinyPG,LL(1),?,"C#, Visual Basic",?,?,Windows,,"
Toy Parser Generator,Recursive descent,?,Python,Mixed,generated,All,,"
TP Yacc,LALR(1),?,Turbo Pascal,Mixed,external,All,,"
Tunnel Grammar Studio,"Recursive descent, backtracking",ABNF,C++,Separate,generated,Windows,,
UltraGram,"LALR(1), LR(1), GLR",BNF,"C++, Java, C#, Visual Basic .NET",Separate,external,Windows,,"
UniCC,LALR(1),EBNF,"C, C++, Python, JavaScript, JSON, XML",Mixed,generated,POSIX,,"
UrchinCC,LL(1),?,Java,?,generated,Java virtual machine,,?
Whale,"LR(?), some conjunctive stuff, see Whale Calf",?,C++,Mixed,external,All,,
wisent,LALR(1),?,"C++, Java",Mixed,external,All,,"
Yacc AT&T/Sun,LALR(1),Yacc,C,Mixed,external,POSIX,,"
Yacc++,"LR(1), LALR(1)",Yacc,"C++, C#",Mixed,generated or external,All,,
Yapps,LL(1),?,Python,Mixed,generated,All,,"
yecc,LALR(1),?,Erlang,Separate,generated,All,,"
Visual BNF,"LR(1), LALR(1)",?,C#,Separate,generated,.NET Framework,,
YooParse,"LR(1), LALR(1)",?,C++,Mixed,external,All,,"
Parse,LR(1),BNF in C++ types,?,?,none,C++11 standard compiler,,"
GGLL,LL(1),Graph,Java,Mixed,generated,Windows,,"
Product,Parsing algorithm,Input grammar notation,Output languages,"Grammar, code",Lexer,Development platform,IDE,License
