Onyx Inc.,BOOX M96,2014,9.7 in,,E Ink Pearl,,520 g (18 oz),825 × 1200,150 ppi,Stylus,,"Wi-Fi, Bluetooth 4.0 Low Energy",,,4 GB,up to 32 GB SD Card,,,
Onyx Inc.,BOOX T68 Lynx,2014,6.8 in,,E Ink Pearl,,236 g (8.325 oz),1080 x 1440,265 ppi,,,"Wi-Fi, Bluetooth 4.0 Low Energy",,,4 GB,up to 32 GB,,,
Onyx Inc.,BOOX N96,2016,9.7 in,,E Ink Pearl,,443-461 g (16 oz),825 × 1200,150 ppi,,,"Wi-Fi, Bluetooth 4.0 Low Energy",,,16 GB,up to 32 GB SD Card,,,
Onyx Inc.,BOOX Max,2016,"13.3 in (letter=13.9 in, A4=14.3 in)",,E Ink Mobius,,496 g (17.5 oz),1200 × 1600,150 ppi,Stylus,,"Wi-Fi, Bluetooth 4.0 Low Energy",,,16 GB,up to 32 GB SD Card,,,
Onyx Inc.,BOOX Max Carta,2017,"13.3 in (letter=13.9 in, A4=14.3 in)",,E Ink Carta,,550 g (19.5 oz),1650 × 2200,207 ppi,Stylus,,"Wi-Fi, Bluetooth 4.0 Low Energy",,,16 GB,up to 32 GB SD Card,,,
PocketBook,PocketBook Touch HD 3,2019,6 in,,E Ink Carta,"161,3 × 108 × 8 mm",155 g,1072 × 1448,300 ppi,,,"Wi-Fi, Bluetooth",,,16 GB,,,,
PocketBook,PocketBook CAD Reader,2014,"13.3 in (letter=13.9 in, A4=14.3 in)",,E Ink Fina,,700 g,1200 × 1600,150 ppi,,,Wi-Fi,,,16 GB,up to 64 GB,,,
PocketBook,PocketBook CAD Reader Flex,2014,"13.3 in (letter=13.9 in, A4=14.3 in)",,E Ink Mobius,,700 g,1200 × 1600,150 ppi,,,Wi-Fi,,,8 GB,up to 64 GB,,,
PocketBook,PocketBook 360 Plus,2011,5 in,,E Ink,,150 g (5.3 oz),600 × 800,200 ppi,,,Wi-Fi,,,2 GB,,,,
PocketBook,PocketBook Pro 912,2011,9.7 in,,E Ink,,565 g (20 oz),825 × 1200,150 ppi,,,"Wi-Fi, Bluetooth",,,2 GB (1.2 GB),,,,
PocketBook,PocketBook Touch,2011,6 in,,E Ink Pearl,,195 g (6.9 oz),600 × 800,167 ppi,,,"Wi-Fi, Bluetooth, UMTS + GPRS",,,2 GB,,,,
PocketBook,PocketBook Basic New,2012,6 in,,E Ink,,180 g (6.3 oz),600 × 800,167 ppi,,,?,?,,2 GB,up to 32 GB,,,
reMarkable,reMarkable[3],2017 pre-order,10.3 in (A5=10.1 in),,E Ink Carta CANVAS,256 x 177 x 6.7mm (10.1 x 6.9 x .26in),350 g (0.77 lb),1404 x 1872,226 ppi,,,WiFi,,,8 GB,,,PDF and ePUB,Beta
Sony,DPT-RP1[4],2017,"13.3 in (letter=13.9 in, A4=14.3 in)",,E Ink Carta,,349 g (12.3 oz),1650 x 2200,207 ppi,,,Wi-Fi b/g/n Bluetooth NFC,,,16 GB,,,PDF only,
TrekStor,Pyrus[5],2012,6 in,,Digital Ink,,216 g (7.6 oz),600 × 800,167 ppi,,"Yes, both sides",,,,2 or 4 GB,,,,
TrekStor,Pyrus 2 LED[6],2013,6 in,,E Ink Pearl,,205 g (7.2 oz),600 × 800,167 ppi,,,,,,2 GB,,,,
TrekStor,Pyrus mini[7],2013,4.3 in,,Digital Ink,,111 g (3.9 oz),600 × 800,233 ppi,,,,,,2 GB,,,,
txtr,beagle,2013,5 in,,E Ink,,128 g (4.5 oz),600 x 800,200 ppi,,,Bluetooth,,,"5 books, up to 4 GB",,,,
Various private labels,"6"; 4:3, Capacitive touch, EPD AUO+SiPix 16 grayscale Contrast Ratio: 6:1, Whiteness: 30% (w/ touch)",varies,6 in,,SiPix,,240 g (8.5 oz),600 × 800,167 ppi,,,Wi-Fi,,,2 GB,SDHC,,,
Fidibook,Hannah F1 Wi-Fi,2018,6 in,align=center,E Ink,159.5 x 118 x 8 mm,190 g,1024 x 758,212 ppi,align=center,align=center,align=centerWi-Fi,align=center,align=center,8 GB,Up to 16 GB,align=center,align=Center,align=Center
Maker,Model,Intro year,Screen size (inch),Self-lit,Screen type,Dimensions (HxWxD),Weight,Screen pixels,PPI,Touch screen,Button for Page-turn,Wireless network,Text-to-speech,Folders,Internal storage,micro SDHC,Web browser,Library DRM compatible,USB peripherals
