Maker,Model,Intro year,End year,Screen size (inch),Self-lit,Screen type,Screen model,Weight,Screen pixels,Touch screen,Wireless network,Text-to-speech,Folders,Internal Storage,Micro SDHC,Web browser,Library DRM compatible,USB peripherals
PocketBook,PocketBook Pro 903,2010,2011,9.7 in,,eInk,,581 g (20.5 oz),825 × 1200,Stylus,"Wi-Fi, Bluetooth, UMTS + GPRS",,,2 GB,,,,
PocketBook,PocketBook Pro 902,2010,2011,9.7 in,,eInk,,530 g (19 oz),825 × 1200,,"Wi-Fi, Bluetooth",,,2 GB,,,,
Samsung,Papyrus,2009,2010,5 in,,eInk,,184 g (6.5 oz),600 × 800,,,,,512M,,,,
Samsung,E6,2010,2011,6 in,,eInk,,315 g (11.1 oz),600 × 800,Stylus,"Wi-Fi, Bluetooth",,,2 GB (1.4 GB),micro SD,limited,,
Sony,DPT-S1[8],2014,2016,"13.3 in (letter=13.9 in, A4=14.3 in)",,eInk Mobius,,357g (12.6 oz),1200 x 1600,,Wi-Fi b/g/n,,,4 GB,,,PDF only,
Sony,Sony Reader Pocket Edition PRS-300SC,2011,2012,5 in,,eInk Vizplex,,220 g (7.8 oz),600 × 800,,,,,512 MB (350 MB),,,,
Sony,Sony Reader Pocket Edition PRS-350,2010,2011,5 in,,eInk Pearl,,155 g (5.5 oz),600 × 800,,,,collections,2 GB (1.4 GB),,,,
Sony,Sony Reader Touch Edition PRS-650,2010,2011,6 in,,eInk,,215 g (7.6 oz),600 × 800,,,,collections,2 GB (1.4 GB),"SDHC, MSPro DUO",,,
Sony,Sony Reader Daily Edition PRS-900,2009,2011,7.1 in,,eInk,,283 g (10.0 oz),600 × 1024,,,,,2 GB,"SDHC, MSPro DUO",,,
Sony,Sony Reader Touch Edition PRS-600,2009,2010,6 in,,eInk,,286 g (10.1 oz),600 × 800,,,,,512 MB (380 MB),"SDHC, MSPro Duo",,,
Sony,Sony Reader Pocket Edition PRS-300,2009,2010,5 in,,eInk,,220 g (7.8 oz),600 × 800,,,,,512 MB (480 MB),,,,
Sony,Sony Reader PRS-700,2008,2009,6 in,,eInk,,283 g (10.0 oz),600 × 800,,,,,512 MB,SDHC,,,
Sony,Reader PRS-505,2008,2009,6 in,,eInk,,250 g (8.8 oz),600 × 800,,,,,"256 MB, (192 MB)","SD, MS",,,
Sony,Sony Reader PRS-500,2006,2008,6 in,,eInk,,250 g (8.8 oz),600 × 800,,,,,92 MB,SD,,,
Sony,Reader PRS-T1,2011,2012,6 in,,eInk Pearl,,168 g (5.9 oz),600 × 800,,Wi-Fi,,Collections,2 GB (1.3 GB),,,,
Sony,Reader PRS-T2,2012,2013,6 in,,eInk Pearl,,167 g (5.9 oz),600 × 800,2-Point,Wi-Fi,,Collections,2 GB (1.3 GB),,,,
Sony,Reader PRS-T3,2013,2014,6 in,,eInk Pearl,,198 g (6.9 oz),758 x 1024,2-Point,Wi-Fi,,Collections,2 GB (1.3 GB),,,,
Tolino,tolino shine,2013,2015,6 in,,E Ink Pearl,,183 g (6.5 oz),758 × 1024,,,,,4 GB (2 GB),,,,
Tolino,tolino vision,2014,2015,6 in,,E Ink Carta,,178 g,758 × 1024,,Wi-Fi,,,2 GB,,,,
Tolino,tolino vision 4 HD,2016,2019,6 in,,E Ink Carta,,175 g,1448 × 1072,,Wi-Fi (b/g/n),,,8 GB (6 GB available for user),,,,
Tolino,Tolino Epos,2017,2019,7.8 in,,E Ink Carta,,260 g (9.2 oz),1404 x 1872,,Wi-Fi,,,8 GB,,,,
TrekStor,Pyrus maxi[9],2013,2014,8 in,,Digital Ink,,309 g (10.9 oz),768 × 1024,,,,,4 GB,,,,
Wexler,Flex ONE[10],2012,2013,6 in,,LG flex,,110 g (3.9 oz),768 x 1024,,,,,8 GB,,,,
Wexler,WEXLER.BOOK E6003,2012,?,6 in,,eink,ED060SC7(LF),175 g (5.7 oz),600 x 800,,,,,4 GB,,,,
Maker,Model,Intro year,End year,Screen size (inch),Self-lit,Screen type,Screen model,Weight,Screen pixels,Touch screen,Wireless network,Text-to-speech,Folders,Internal Storage,Micro SDHC,Web browser,Library DRM compatible,USB peripherals
