Zhuyin,Wade- Giles,MPS II,Yale,Tong- yong,Hanyu Pinyin,Gwoyeu Romatzyh,,,,IPA
zh-Bopo???,hsüeh,shiue,sywe,syue,xue,shiue,shyue,sheue,shiueh,?ye
zh-Bopo???,hsün,shiun,syun,syun,xun,shiun,shyun,sheun,shiunn,?yn
zh-Bopo??,hu,hu,hu,hu,hu,hu,hwu,huu,huh,xu
zh-Bopo???,hua,hua,hwa,hua,hua,hua,hwa,hoa,huah,xua
zh-Bopo???,huai,huai,hwai,huai,huai,huai,hwai,hoai,huay,xuai
zh-Bopo???,huan,huan,hwan,huan,huan,huan,hwan,hoan,huann,xuan
zh-Bopo???,huang,huang,hwang,huang,huang,huang,hwang,hoang,huanq,xua?
zh-Bopo???,hui,huei,hwei,huei,hui,huei,hwei,hoei,huey,xuei
zh-Bopo???,hun,huen,hwun,hun,hun,huen,hwen,hoen,huenn,xu?n
zh-Bopo???,hung,hung,hung,hong,hong,hong,horng,hoong,honq,x??
zh-Bopo???,huo,huo,hwo,huo,huo,huo,hwo,huoo,huoh,xuo
zh-Bopo?,i/yi,yi,yi,yi,yi,i,yi,yii,yih,i
zh-Bopo??,jan,ran,ran,ran,ran,rhan,ran,raan,rann,?an
zh-Bopo??,jang,rang,rang,rang,rang,rhang,rang,raang,ranq,?a?
zh-Bopo??,jao,rau,rau,rao,rao,rhau,rau,rao,raw,?au
zh-Bopo??,jê,re,re,re,re,rhe,re,ree,reh,??
zh-Bopo??,jên,ren,ren,ren,ren,rhen,ren,reen,renn,??n
zh-Bopo??,jêng,reng,reng,reng,reng,rheng,reng,reeng,renq,???
zh-Bopo?,jih,r,r,rih,ri,rhy,ry,ryy,ryh,??
zh-Bopo???,jo,ruo,rwo,ruo,ruo,rhuo,ruo,ruoo,ruoh,?uo
zh-Bopo??,jou,rou,rou,rou,rou,rhou,rou,roou,row,?ou
zh-Bopo??,ju,ru,ru,ru,ru,rhu,ru,ruu,ruh,?u
zh-Bopo???,juan,ruan,rwan,ruan,ruan,rhuan,ruan,roan,ruann,?uan
zh-Bopo???,jui,ruei,rwei,ruei,rui,rhuei,ruei,roei,ruey,?uei
zh-Bopo???,jun,ruen,rwun,run,run,rhuen,ruen,roen,ruenn,?u?n
zh-Bopo???,jung,rung,rung,rong,rong,rhong,rong,roong,ronq,???
zh-Bopo??,ka,ga,ga,ga,ga,ga,gar,gaa,gah,ka
zh-Bopo??,k?a,ka,ka,ka,ka,ka,kar,kaa,kah,k?a
zh-Bopo??,kai,gai,gai,gai,gai,gai,gair,gae,gay,kai
zh-Bopo??,k?ai,kai,kai,kai,kai,kai,kair,kae,kay,k?ai
zh-Bopo??,kan,gan,gan,gan,gan,gan,garn,gaan,gann,kan
zh-Bopo??,k?an,kan,kan,kan,kan,kan,karn,kaan,kann,k?an
zh-Bopo??,kang,gang,gang,gang,gang,gang,garng,gaang,ganq,ka?
zh-Bopo??,k?ang,kang,kang,kang,kang,kang,karng,kaang,kanq,k?a?
zh-Bopo??,kao,gau,gau,gao,gao,gau,gaur,gao,gaw,kau
zh-Bopo??,k?ao,kau,kau,kao,kao,kau,kaur,kao,kaw,k?au
zh-Bopo??,kei,gei,gei,gei,gei,gei,geir,geei,gey,kei
zh-Bopo??,k?ei,kei,kei,kei,kei,kei,keir,keei,key,k?ei
zh-Bopo??,kên,gen,gen,gen,gen,gen,gern,geen,genn,k?n
zh-Bopo??,k?ên,ken,ken,ken,ken,ken,kern,keen,kenn,k??n
zh-Bopo??,kêng,geng,geng,geng,geng,geng,gerng,geeng,genq,k??
zh-Bopo??,k?êng,keng,keng,keng,keng,keng,kerng,keeng,kenq,k???
zh-Bopo??,ko,ge,ge,ge,ge,ge,ger,gee,geh,k?
zh-Bopo??,k?o,ke,ke,ke,ke,ke,ker,kee,keh,k??
zh-Bopo??,kou,gou,gou,gou,gou,gou,gour,goou,gow,kou
zh-Bopo??,k?ou,kou,kou,kou,kou,kou,kour,koou,kow,k?ou
zh-Bopo??,ku,gu,gu,gu,gu,gu,gwu,guu,guh,ku
zh-Bopo??,k?u,ku,ku,ku,ku,ku,kwu,kuu,kuh,k?u
zh-Bopo???,kua,gua,gwa,gua,gua,gua,gwa,goa,guah,kua
zh-Bopo???,k?ua,kua,kwa,kua,kua,kua,kwa,koa,kuah,k?ua
zh-Bopo???,kuai,guai,gwai,guai,guai,guai,gwai,goai,guay,kuai
zh-Bopo???,k?uai,kuai,kwai,kuai,kuai,kuai,kwai,koai,kuay,k?uai
zh-Bopo???,kuan,guan,gwan,guan,guan,guan,gwan,goan,guann,kuan
zh-Bopo???,k?uan,kuan,kwan,kuan,kuan,kuan,kwan,koan,kuann,k?uan
zh-Bopo???,kuang,guang,gwang,guang,guang,guang,gwang,goang,guanq,kua?
zh-Bopo???,k?uang,kuang,kwang,kuang,kuang,kuang,kwang,koang,kuanq,k?ua?
zh-Bopo???,kuei,guei,gwei,guei,gui,guei,gwei,goei,guey,kuei
zh-Bopo???,k?uei,kuei,kwei,kuei,kui,kuei,kwei,koei,kuey,k?uei
zh-Bopo???,kun,guen,gwun,gun,gun,guen,gwen,goen,guenn,ku?n
zh-Bopo???,k?un,kuen,kwun,kun,kun,kuen,kwen,koen,kuenn,k?u?n
zh-Bopo???,kung,gung,gung,gong,gong,gong,gorng,goong,gonq,k??
zh-Bopo???,k?ung,kung,kung,kong,kong,kong,korng,koong,konq,k???
zh-Bopo???,kuo,guo,gwo,guo,guo,guo,gwo,guoo,guoh,kuo
zh-Bopo???,k?uo,kuo,kwo,kuo,kuo,kuo,kwo,kuoo,kuoh,k?uo
zh-Bopo??,la,la,la,la,la,lha,la,laa,lah,la
zh-Bopo??,lai,lai,lai,lai,lai,lhai,lai,lae,lay,lai
zh-Bopo??,lan,lan,lan,lan,lan,lhan,lan,laan,lann,lan
zh-Bopo??,lang,lang,lang,lang,lang,lhang,lang,laang,lanq,la?
zh-Bopo??,lao,lau,lau,lao,lao,lhau,lau,lao,law,lau
zh-Bopo??,lê,le,le,le,le,lhe,le,lee,leh,l?
zh-Bopo??,lei,lei,lei,lei,lei,lhei,lei,leei,ley,lei
zh-Bopo??,lêng,leng,leng,leng,leng,lheng,leng,leeng,lenq,l??
zh-Bopo??,li,li,li,li,li,lhi,li,lii,lih,li
zh-Bopo???,lia,lia,lya,lia,lia,lhia,lia,lea,liah,lia
zh-Bopo???,liang,liang,lyang,liang,liang,lhiang,liang,leang,lianq,lia?
zh-Bopo???,liao,liau,lyau,liao,liao,lhiau,liau,leau,liaw,liau
zh-Bopo???,lieh,lie,lye,lie,lie,lhie,lie,liee,lieh,lie
zh-Bopo???,lien,lian,lyan,lian,lian,lhian,lian,lean,liann,li?n
zh-Bopo???,lin,lin,lin,lin,lin,lhin,lin,liin,linn,lin
zh-Bopo???,ling,ling,ling,ling,ling,lhing,ling,liing,linq,li?
zh-Bopo???,liu,liou,lyou,liou,liu,lhiou,liou,leou,liow,liou
zh-Bopo??,lo,lo,lo,lo,lo,lo,lor,loo,loh,l?
zh-Bopo???,lo,luo,lwo,luo,luo,lhuo,luo,luoo,luoh,luo
zh-Bopo??,lou,lou,lou,lou,lou,lhou,lou,loou,low,lou
zh-Bopo??,lu,lu,lu,lu,lu,lhu,lu,luu,luh,lu
zh-Bopo???,luan,luan,lwan,luan,luan,lhuan,luan,loan,luann,luan
zh-Bopo???,lun,luen,lwun,lun,lun,lhuen,luen,loen,luenn,lu?n
zh-Bopo???,lung,lung,lung,long,long,lhong,long,loong,lonq,l??
zh-Bopo??,lü,liu,lyu,lyu,lü,lhiu,liu,leu,liuh,ly
zh-Bopo???,lüeh,liue,lywe,lyue,lüe,lhiue,liue,leue,liueh,lye
zh-Bopo???,lün,liun,lyun,lyun,lün,lhiun,liun,leun,liunn,lyn
zh-Bopo??,ma,ma,ma,ma,ma,mha,ma,maa,mah,ma
zh-Bopo??,mai,mai,mai,mai,mai,mhai,mai,mae,may,mai
zh-Bopo??,man,man,man,man,man,mhan,man,maan,mann,man
zh-Bopo??,mang,mang,mang,mang,mang,mhang,mang,maang,manq,ma?
zh-Bopo??,mao,mau,mau,mao,mao,mhau,mau,mao,maw,mau
zh-Bopo??,mê,me,me,me,me,mhe,me,mee,meh,m?
zh-Bopo??,mei,mei,mei,mei,mei,mhei,mei,meei,mey,mei
zh-Bopo??,mên,men,men,men,men,mhen,men,meen,menn,m?n
zh-Bopo??,mêng,meng,meng,meng,meng,mheng,meng,meeng,menq,m??
zh-Bopo??,mi,mi,mi,mi,mi,mhi,mi,mii,mih,mi
zh-Bopo???,miao,miau,myau,miao,miao,mhiau,miau,meau,miaw,miau
zh-Bopo???,mieh,mie,mye,mie,mie,mhie,mie,miee,mieh,mie
zh-Bopo???,mien,mian,myan,mian,mian,mhian,mian,mean,miann,mi?n
zh-Bopo???,min,min,min,min,min,mhin,min,miin,minn,min
zh-Bopo???,ming,ming,ming,ming,ming,mhing,ming,miing,minq,mi?
zh-Bopo???,miu,miou,myou,miou,miu,mhiou,miou,meou,miow,miou
zh-Bopo??,mo,mo,mwo,mo,mo,mho,mo,moo,moh,muo
zh-Bopo??,mou,mou,mou,mou,mou,mhou,mou,moou,mow,mou
zh-Bopo??,mu,mu,mu,mu,mu,mhu,mu,muu,muh,mu
zh-Bopo??,na,na,na,na,na,nha,na,naa,nah,na
zh-Bopo??,nai,nai,nai,nai,nai,nhai,nai,nae,nay,nai
zh-Bopo??,nan,nan,nan,nan,nan,nhan,nan,naan,nann,nan
zh-Bopo??,nang,nang,nang,nang,nang,nhang,nang,naang,nanq,na?
zh-Bopo??,nao,nau,nau,nao,nao,nhau,nau,nao,naw,nau
zh-Bopo??,nê,ne,ne,ne,ne,nhe,ne,nee,neh,n?
zh-Bopo??,nei,nei,nei,nei,nei,nhei,nei,neei,ney,nei
zh-Bopo??,nên,nen,nen,nen,nen,nhen,nen,neen,nenn,n?n
zh-Bopo??,nêng,neng,neng,neng,neng,nheng,neng,neeng,nenq,n??
zh-Bopo??,ni,ni,ni,ni,ni,nhi,ni,nii,nih,ni
zh-Bopo???,nia,nia,nya,nia,nia,nia,niar,niaa,niah,nia
zh-Bopo???,niang,niang,nyang,niang,niang,nhiang,niang,neang,nianq,nia?
zh-Bopo???,niao,niau,nyau,niao,niao,nhiau,niau,neau,niaw,niau
zh-Bopo???,nieh,nie,nye,nie,nie,nhie,nie,niee,nieh,nie
zh-Bopo???,nien,nian,nyan,nian,nian,nhian,nian,nean,niann,ni?n
zh-Bopo???,nin,nin,nin,nin,nin,nhin,nin,niin,ninn,nin
zh-Bopo???,ning,ning,ning,ning,ning,nhing,ning,niing,ninq,ni?
zh-Bopo???,niu,niou,nyou,niou,niu,nhiou,niou,neou,niow,niou
zh-Bopo???,no,nuo,nwo,nuo,nuo,nhuo,nuo,nuoo,nuoh,nuo
zh-Bopo??,nou,nou,nou,nou,nou,nhou,nou,noou,now,nou
zh-Bopo??,nu,nu,nu,nu,nu,nhu,nu,nuu,nuh,nu
zh-Bopo???,nuan,nuan,nwan,nuan,nuan,nhuan,nuan,noan,nuann,nuan
zh-Bopo???,nun,nuen,nwun,nun,nun,nhuen,nuen,noen,nuenn,nu?n
zh-Bopo???,nung,nung,nung,nong,nong,nhong,nong,noong,nonq,n??
zh-Bopo??,nü,niu,nyu,nyu,nü,nhiu,niu,neu,niuh,ny
zh-Bopo???,nüeh,niue,nywe,nyue,nüe,nhiue,niue,neue,niueh,nye
zh-Bopo?,ou,ou,ou,ou,ou,ou,our,oou,ow,ou
zh-Bopo??,pa,ba,ba,ba,ba,ba,bar,baa,bah,pa
zh-Bopo??,p?a,pa,pa,pa,pa,pa,par,paa,pah,p?a
zh-Bopo??,pai,bai,bai,bai,bai,bai,bair,bae,bay,pai
zh-Bopo??,p?ai,pai,pai,pai,pai,pai,pair,pae,pay,p?ai
zh-Bopo??,pan,ban,ban,ban,ban,ban,barn,baan,bann,pan
zh-Bopo??,p?an,pan,pan,pan,pan,pan,parn,paan,pann,p?an
zh-Bopo??,pang,bang,bang,bang,bang,bang,barng,baang,banq,pa?
zh-Bopo??,p?ang,pang,pang,pang,pang,pang,parng,paang,panq,p?a?
zh-Bopo??,pao,bau,bau,bao,bao,bau,baur,bao,baw,pau
zh-Bopo??,p?ao,pau,pau,pao,pao,pau,paur,pao,paw,p?au
zh-Bopo??,pei,bei,bei,bei,bei,bei,beir,beei,bey,pei
zh-Bopo??,p?ei,pei,pei,pei,pei,pei,peir,peei,pey,p?ei
zh-Bopo??,pên,ben,ben,ben,ben,ben,bern,been,benn,p?n
zh-Bopo??,p?ên,pen,pen,pen,pen,pen,pern,peen,penn,p??n
zh-Bopo??,pêng,beng,beng,beng,beng,beng,berng,beeng,benq,p??
zh-Bopo??,p?êng,peng,peng,peng,peng,peng,perng,peeng,penq,p???
zh-Bopo??,pi,bi,bi,bi,bi,bi,byi,bii,bih,pi
zh-Bopo??,p?i,pi,pi,pi,pi,pi,pyi,pii,pih,p?i
zh-Bopo???,piao,biau,byau,biao,biao,biau,byau,beau,biaw,piau
zh-Bopo???,p?iao,piau,pyau,piao,piao,piau,pyau,peau,piaw,p?iau
zh-Bopo???,pieh,bie,bye,bie,bie,bie,bye,biee,bieh,pie
zh-Bopo???,p?ieh,pie,pye,pie,pie,pie,pye,piee,pieh,p?ie
zh-Bopo???,pien,bian,byan,bian,bian,bian,byan,bean,biann,pi?n
zh-Bopo???,p?ien,pian,pyan,pian,pian,pian,pyan,pean,piann,p?i?n
zh-Bopo???,pin,bin,bin,bin,bin,bin,byn,biin,binn,pin
zh-Bopo???,p?in,pin,pin,pin,pin,pin,pyn,piin,pinn,p?in
zh-Bopo???,ping,bing,bing,bing,bing,bing,byng,biing,binq,pi?
zh-Bopo???,p?ing,ping,ping,ping,ping,ping,pyng,piing,pinq,p?i?
zh-Bopo??,po,bo,bwo,bo,bo,bo,bor,boo,boh,puo
zh-Bopo??,p?o,po,pwo,po,po,po,por,poo,poh,p?uo
zh-Bopo??,p?ou,pou,pou,pou,pou,pou,pour,poou,pow,p?ou
zh-Bopo??,pu,bu,bu,bu,bu,bu,bwu,buu,buh,pu
zh-Bopo??,p?u,pu,pu,pu,pu,pu,pwu,puu,puh,p?u
zh-Bopo??,sa,sa,sa,sa,sa,sa,sar,saa,sah,sa
zh-Bopo??,sai,sai,sai,sai,sai,sai,sair,sae,say,sai
zh-Bopo??,san,san,san,san,san,san,sarn,saan,sann,san
zh-Bopo??,sang,sang,sang,sang,sang,sang,sarng,saang,sanq,sa?
zh-Bopo??,sao,sau,sau,sao,sao,sau,saur,sao,saw,sau
zh-Bopo??,sê,se,se,se,se,se,ser,see,seh,s?
zh-Bopo??,sei,sei,sei,sei,sei,sei,seir,seei,sey,sei
zh-Bopo??,sên,sen,sen,sen,sen,sen,sern,seen,senn,s?n
zh-Bopo??,sêng,seng,seng,seng,seng,seng,serng,seeng,senq,s??
zh-Bopo??,sha,sha,sha,sha,sha,sha,shar,shaa,shah,?a
zh-Bopo??,shai,shai,shai,shai,shai,shai,shair,shae,shay,?ai
zh-Bopo??,shan,shan,shan,shan,shan,shan,sharn,shaan,shann,?an
zh-Bopo??,shang,shang,shang,shang,shang,shang,sharng,shaang,shanq,?a?
zh-Bopo??,shao,shau,shau,shao,shao,shau,shaur,shao,shaw,?au
zh-Bopo??,shê,she,she,she,she,she,sher,shee,sheh,??
zh-Bopo??,shei,shei,shei,shei,shei,shei,sheir,sheei,shey,?ei
zh-Bopo??,shên,shen,shen,shen,shen,shen,shern,sheen,shenn,??n
zh-Bopo??,shêng,sheng,sheng,sheng,sheng,sheng,sherng,sheeng,shenq,???
zh-Bopo?,shih,shr,shr,shih,shi,shy,shyr,shyy,shyh,??
zh-Bopo??,shou,shou,shou,shou,shou,shou,shour,shoou,show,?ou
zh-Bopo??,shu,shu,shu,shu,shu,shu,shwu,shuu,shuh,?u
zh-Bopo???,shua,shua,shwa,shua,shua,shua,shwa,shoa,shuah,?ua
zh-Bopo???,shuai,shuai,shwai,shuai,shuai,shuai,shwai,shoai,shuay,?uai
zh-Bopo???,shuan,shuan,shwan,shuan,shuan,shuan,shwan,shoan,shuann,?uan
zh-Bopo???,shuang,shuang,shwang,shuang,shuang,shuang,shwang,shoang,shuanq,?ua?
zh-Bopo???,shui,shuei,shwei,shuei,shui,shuei,shwei,shoei,shuey,?uei
zh-Bopo???,shun,shuen,shwun,shun,shun,shuen,shwen,shoen,shuenn,?u?n
zh-Bopo???,shung,shung,shung,shong,shong,shong,shorng,shoong,shonq,???
zh-Bopo???,shuo,shuo,shwo,shuo,shuo,shuo,shwo,shuoo,shuoh,?uo
zh-Bopo???,so,suo,swo,suo,suo,suo,swo,suoo,suoh,suo
zh-Bopo??,sou,sou,sou,sou,sou,sou,sour,soou,sow,sou
zh-Bopo?,ss?,sz,sz,sih,si,sy,syr,syy,syh,s?
zh-Bopo??,su,su,su,su,su,su,swu,suu,suh,su
zh-Bopo???,suan,suan,swan,suan,suan,suan,swan,soan,suann,suan
zh-Bopo???,sui,suei,swei,suei,sui,suei,swei,soei,suey,suei
zh-Bopo???,sun,suen,swun,sun,sun,suen,swen,soen,suenn,su?n
zh-Bopo???,sung,sung,sung,song,song,song,sorng,soong,sonq,s??
zh-Bopo??,ta,da,da,da,da,da,dar,daa,dah,ta
zh-Bopo??,t?a,ta,ta,ta,ta,ta,tar,taa,tah,t?a
zh-Bopo??,tai,dai,dai,dai,dai,dai,dair,dae,day,tai
zh-Bopo??,t?ai,tai,tai,tai,tai,tai,tair,tae,tay,t?ai
zh-Bopo??,tan,dan,dan,dan,dan,dan,darn,daan,dann,tan
zh-Bopo??,t?an,tan,tan,tan,tan,tan,tarn,taan,tann,t?an
zh-Bopo??,tang,dang,dang,dang,dang,dang,darng,daang,danq,ta?
zh-Bopo??,t?ang,tang,tang,tang,tang,tang,tarng,taang,tanq,t?a?
zh-Bopo??,tao,dau,dau,dao,dao,dau,daur,dao,daw,tau
zh-Bopo??,t?ao,tau,tau,tao,tao,tau,taur,tao,taw,t?au
zh-Bopo??,tê,de,de,de,de,de,der,dee,deh,t?
